"iso","stable","loss","gain","disturb","net","change","gfw_area__ha"
"ABW",113.038689599999998,6.764463031000000,19.239655509999999,0.676439777000000,12.475192480000000,10.354599952697754,18193.8402228258
"AFG",368081.866700000013225,16604.621849999999540,10741.056360000000495,1146.238925000000108,-5863.565488000000187,-1.519719958305359,64385932.5185039
"AGO",44546560.189999997615814,3412610.649999999906868,1224125.362999999895692,1623929.358999999938533,-2188485.287000000011176,-4.413770198822021,124742581.122576
"AIA",890.152399199999991,51.507857770000001,69.881509570000006,9.731989722000000,18.373651800000001,1.931239962577820,8330.33086909725
"ALA",76419.028500000000349,7426.981831000000057,2582.850309999999808,12417.969709999999395,-4844.131521000000248,-5.032129764556885,150631.201330911
"ALB",814631.915999999968335,40701.844680000001972,16472.223129999998491,41219.906029999998282,-24229.621549999999843,-2.702529907226562,2873542.7602842
"AND",22336.514299999998912,57.830925710000002,120.082873300000003,100.229344400000002,62.251947559999998,0.276742011308670,45195.0820721624
"ARE",492.382198500000015,0E-15,595.954130200000009,0E-15,595.954130200000009,121.035003662109375,7119678.41505192
"ARG",27610827.399999998509884,4664485.025999999605119,1107731.996000000042841,1744460.006999999983236,-3556753.030999999959022,-10.454899787902832,278009660.97243
"ARM",365708.001199999998789,6154.364297000000079,12255.977399999999761,1426.125982999999906,6101.613102000000254,1.634559988975525,2969016.34801256
"ATF",0E-15,0E-15,0E-15,0E-15,0E-15,"",786754.174515764
"ATG",12850.205649999999878,979.968556899999953,361.556523400000003,1791.706378000000086,-618.412033599999972,-3.958620071411133,43580.9949659193
"AUS",80328275.650000005960464,2517149.646999999880791,1600595.931000000098720,6456183.336000000126660,-916553.715500000049360,-1.026360034942627,768803974.392573
"AUT",3881301.580999999772757,137385.748200000001816,36316.698790000002191,447061.348400000017136,-101069.049400000003516,-2.263200044631958,8385823.85313804
"AZE",1035067.601000000024214,28864.523610000000190,30269.993299999998271,3743.588421999999809,1405.469683999999916,0.131638005375862,8623547.86582102
"BDI",817066.141999999992549,34711.021800000002258,16374.250490000000354,54036.902600000001257,-18336.771310000000085,-2.024339914321899,2693529.15355052
"BEL",919730.770699999993667,44808.304380000001402,41686.963340000002063,105220.689899999997579,-3121.341038000000026,-0.291779994964600,3070746.59353332
"BEN",4299628.957999999634922,539499.698300000047311,181408.512400000006892,187710.340399999986403,-358091.185899999982212,-7.123579978942871,11542319.027277
"BES",1993.683682000000090,67.509344020000000,270.183121099999994,59.510686499999998,202.673777099999995,9.556929588317871,32369.4201292073
"BFA",2352383.739000000059605,151938.050500000012107,142766.495100000000093,68670.683099999994738,-9171.555335999999443,-0.356454998254776,27341749.0774142
"BGD",3313032.510999999940395,115404.600600000005215,317862.215299999981653,612964.061600000015460,202457.614800000010291,5.009590148925781,13938444.6126957
